 ----------------------header-------------------------- 2018-08-07 16:48:52,030 [9] INFO  loginfo - 文件接收工具启动
2018-08-07 16:57:58,214 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,264 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,324 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,384 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,444 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,494 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,554 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,604 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,664 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,724 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,774 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,844 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,894 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:58,944 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,004 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,064 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,114 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,174 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,233 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,290 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,346 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,401 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,457 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,512 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,562 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,622 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,682 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,732 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,792 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,852 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,902 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:57:59,962 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,012 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,072 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,132 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,192 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,242 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,302 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,352 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,412 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,472 [16] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,522 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,582 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,642 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,692 [15] INFO  loginfo - 收到数据文件
2018-08-07 16:58:00,752 [15] INFO  loginfo - 收到数据文件
